directory,filename,nrVertices,nrFaces,avgX,avgY,AvgZ,minX,maxX,minY,maxY,minZ,maxZ
0,m55,20000,38026,0.000000,0.000000,0.000000,-0.312192,0.687808,-0.161866,0.214145,-0.071465,0.093740
0,m56,20001,25137,0.000000,0.000000,0.000000,-0.586269,0.413731,-0.177950,0.180236,-0.075052,0.075294
0,m57,20000,37590,0.000000,0.000000,0.000000,-0.333610,0.666390,-0.180770,0.199630,-0.061862,0.062525
0,m58,20001,20474,0.000000,0.000000,0.000000,-0.439513,0.560487,-0.209034,0.297727,-0.262991,0.269294
0,m59,20000,20039,0.000000,0.000000,0.000000,-0.481074,0.518926,-0.101449,0.108717,-0.105064,0.105104
0,m6,20002,28608,0.000000,0.000000,0.000000,-0.482884,0.517116,-0.348783,0.348261,-0.189004,0.502225
0,m60,20002,21604,0.000000,0.000000,0.000000,-0.453104,0.546896,-0.201324,0.201454,-0.170304,0.170336
0,m61,20001,20122,0.000000,0.000000,0.000000,-0.392519,0.607481,-0.186773,0.247334,-0.085373,0.090013
0,m62,20002,20239,0.000000,0.000000,0.000000,-0.419092,0.580908,-0.372269,0.347671,-0.054692,0.054695
0,m63,20000,20349,0.000000,0.000000,0.000000,-0.401867,0.598133,-0.277471,0.414033,-0.367500,0.390471
0,m64,20002,20180,0.000000,0.000000,0.000000,-0.414484,0.585516,-0.275876,0.271824,-0.081111,0.081594
0,m65,20000,20926,0.000000,0.000000,0.000000,-0.426645,0.573355,-0.291331,0.305514,-0.194725,0.195072
0,m66,20002,23588,0.000000,0.000000,0.000000,-0.399578,0.600422,-0.215628,0.221817,-0.213844,0.212568
0,m67,20000,33996,0.000000,0.000000,0.000000,-0.448586,0.551415,-0.170369,0.212811,-0.113968,0.122560
0,m68,20002,20547,0.000000,0.000000,0.000000,-0.491111,0.508889,-0.137247,0.128372,-0.085206,0.085597
0,m69,20000,20251,0.000000,0.000000,0.000000,-0.387811,0.612189,-0.173945,0.173287,-0.107570,0.163514
0,m7,20002,20241,0.000000,0.000000,0.000000,-0.496869,0.503131,-0.274321,0.274084,-0.172737,0.280626
0,m70,20000,20240,0.000000,0.000000,0.000000,-0.450052,0.549948,-0.225623,0.226378,-0.080680,0.173176
0,m71,20001,20417,0.000000,0.000000,0.000000,-0.489174,0.510826,-0.143785,0.227461,-0.158799,0.158063
0,m72,20002,20261,0.000000,0.000000,0.000000,-0.464476,0.535524,-0.226555,0.227234,-0.081515,0.167644
0,m73,20001,20278,0.000000,0.000000,0.000000,-0.508811,0.491189,-0.238670,0.336690,-0.184085,0.183426
0,m74,20001,20131,0.000000,0.000000,0.000000,-0.424500,0.575500,-0.141401,0.180321,-0.177395,0.169469
0,m75,20002,20216,0.000000,0.000000,0.000000,-0.445308,0.554692,-0.266612,0.267277,-0.107636,0.181386
0,m76,20000,21577,0.000000,0.000000,0.000000,-0.414943,0.585057,-0.177763,0.161388,-0.193363,0.195537
0,m77,20002,31444,0.000000,0.000000,0.000000,-0.537109,0.462891,-0.268565,0.222248,-0.143451,0.239954
0,m78,20001,20263,0.000000,0.000000,0.000000,-0.443953,0.556047,-0.193065,0.271902,-0.195362,0.213682
0,m79,20002,20062,0.000000,0.000000,0.000000,-0.479430,0.520570,-0.134032,0.150544,-0.086213,0.150072
0,m8,20001,20256,0.000000,0.000000,0.000000,-0.460965,0.539035,-0.473289,0.495099,-0.248700,0.263757
0,m80,20001,20969,0.000000,0.000000,0.000000,-0.422742,0.577258,-0.181337,0.220878,-0.110833,0.196342
0,m81,20000,20695,0.000000,0.000000,0.000000,-0.419952,0.580048,-0.201640,0.205480,-0.102486,0.184688
0,m82,20002,24134,0.000000,0.000000,0.000000,-0.312877,0.566817,-0.367048,0.632952,-0.278341,0.306502
0,m83,20000,20056,0.000000,0.000000,0.000000,-0.443475,0.556525,-0.345749,0.358396,-0.250686,0.350388
0,m84,20000,22486,0.000000,0.000000,0.000000,-0.402716,0.597284,-0.027758,0.027802,-0.021625,0.024170
0,m85,20002,21723,0.000000,0.000000,0.000000,-0.444873,0.555127,-0.300377,0.281567,-0.271980,0.275527
0,m86,20000,20060,0.000000,0.000000,0.000000,-0.478144,0.521856,-0.363711,0.360713,-0.080965,0.102202
0,m87,20002,20639,0.000000,0.000000,0.000000,-0.502567,0.497433,-0.419265,0.472860,-0.131676,0.172237
0,m88,20002,21604,0.000000,0.000000,0.000000,-0.559642,0.440358,-0.207504,0.383146,-0.114766,0.114973
0,m89,20000,32460,0.000000,0.000000,0.000000,-0.571449,0.428551,-0.335653,0.360244,-0.148719,0.148510
0,m9,20000,20337,0.000000,0.000000,0.000000,-0.491866,0.508134,-0.346985,0.502698,-0.132348,0.307436
0,m90,20002,21741,0.000000,0.000000,0.000000,-0.430413,0.569587,-0.293804,0.364406,-0.244415,0.242381
0,m91,20001,21554,0.000000,0.000000,0.000000,-0.518923,0.481077,-0.390277,0.399052,-0.148147,0.147917
0,m92,20001,21916,0.000000,0.000000,0.000000,-0.482956,0.517044,-0.272719,0.422777,-0.139688,0.137447
0,m93,20000,20186,0.000000,0.000000,0.000000,-0.493736,0.506264,-0.258278,0.386842,-0.132494,0.137227
0,m94,20000,22995,0.000000,0.000000,0.000000,-0.432683,0.567317,-0.183106,0.302634,-0.103887,0.104812
0,m95,20000,20952,0.000000,0.000000,0.000000,-0.514959,0.485041,-0.201478,0.249391,-0.117425,0.118988
0,m96,20001,24861,0.000000,0.000000,0.000000,-0.539152,0.460848,-0.214945,0.333812,-0.124355,0.124347
0,m97,20002,23452,0.000000,0.000000,0.000000,-0.519626,0.480374,-0.215271,0.348545,-0.128131,0.128443
0,m98,20002,23997,0.000000,0.000000,0.000000,-0.525360,0.474640,-0.214826,0.330019,-0.127682,0.127854
0,m99,20002,21437,0.000000,0.000000,0.000000,-0.443409,0.556591,-0.249068,0.303874,-0.163847,0.166193
1,m100,20001,20603,0.000000,0.000000,0.000000,-0.510825,0.489175,-0.266102,0.223479,-0.287584,0.256730
1,m101,20001,21032,0.000000,0.000000,0.000000,-0.466534,0.533466,-0.274244,0.384932,-0.194143,0.197821
1,m102,20002,20101,0.000000,0.000000,0.000000,-0.467581,0.532419,-0.241565,0.221459,-0.200364,0.201220
1,m103,20000,34500,0.000000,0.000000,0.000000,-0.609016,0.390984,-0.225599,0.376180,-0.087208,0.107345
1,m104,20000,20229,0.000000,0.000000,0.000000,-0.487824,0.512176,-0.240240,0.401779,-0.121939,0.119874
1,m105,20000,20114,0.000000,0.000000,0.000000,-0.479081,0.520919,-0.296430,0.459340,-0.110821,0.121063
1,m106,20002,20341,0.000000,0.000000,0.000000,-0.453499,0.546501,-0.282064,0.404433,-0.106063,0.095319
1,m107,20001,23002,0.000000,0.000000,0.000000,-0.469112,0.530888,-0.252095,0.504463,-0.112961,0.113013
1,m108,20000,31051,0.000000,0.000000,0.000000,-0.525115,0.474885,-0.250653,0.438417,-0.106869,0.109824
1,m109,20002,21234,0.000000,0.000000,0.000000,-0.360676,0.639324,-0.413528,0.480851,-0.232820,0.243744
1,m110,20001,20450,0.000000,0.000000,0.000000,-0.470114,0.529886,-0.379954,0.363733,-0.241822,0.242916
1,m111,20000,21204,0.000000,0.000000,0.000000,-0.437760,0.562240,-0.271533,0.328267,-0.189330,0.189603
1,m112,20000,27603,0.000000,0.000000,0.000000,-0.471068,0.528932,-0.390653,0.402181,-0.248578,0.284468
1,m113,20002,24561,0.000000,0.000000,0.000000,-0.432004,0.567996,-0.157356,0.160572,-0.064691,0.090337
1,m114,20001,21984,0.000000,0.000000,0.000000,-0.421962,0.578038,-0.164700,0.166362,-0.063118,0.101781
1,m115,20000,22010,0.000000,0.000000,0.000000,-0.430653,0.569347,-0.305171,0.499960,-0.160904,0.204313
1,m116,20000,38446,0.000000,0.000000,0.000000,-0.347621,0.652378,-0.144434,0.144591,-0.085063,0.085247
1,m117,20002,22006,0.000000,0.000000,0.000000,-0.461862,0.538138,-0.101104,0.102175,-0.049962,0.096919
1,m118,20002,20406,0.000000,0.000000,0.000000,-0.461506,0.538494,-0.135059,0.143703,-0.066470,0.104096
1,m119,20001,20376,0.000000,0.000000,0.000000,-0.460849,0.539151,-0.132482,0.129792,-0.070607,0.130541
1,m120,20000,20391,0.000000,0.000000,0.000000,-0.463167,0.536833,-0.127214,0.134094,-0.095011,0.115423
1,m121,20001,20403,0.000000,0.000000,0.000000,-0.455310,0.544690,-0.140716,0.177014,-0.065750,0.079243
1,m122,20000,20375,0.000000,0.000000,0.000000,-0.467821,0.532179,-0.133119,0.137394,-0.072768,0.186148
1,m123,20001,20405,0.000000,0.000000,0.000000,-0.459653,0.540347,-0.137392,0.158473,-0.077489,0.139693
1,m124,20000,20377,0.000000,0.000000,0.000000,-0.482722,0.517278,-0.141867,0.142306,-0.070665,0.143929
1,m125,20000,21250,0.000000,0.000000,0.000000,-0.488910,0.511090,-0.141039,0.186642,-0.087628,0.169280
1,m126,20002,20418,0.000000,0.000000,0.000000,-0.455172,0.544828,-0.121919,0.124309,-0.069708,0.097747
1,m127,20001,20081,0.000000,0.000000,0.000000,-0.479355,0.520645,-0.144060,0.151098,-0.071059,0.095262
1,m128,20000,20380,0.000000,0.000000,0.000000,-0.463497,0.536503,-0.138397,0.148360,-0.091714,0.099994
1,m129,20000,21426,0.000000,0.000000,0.000000,-0.407578,0.592422,-0.130187,0.130804,-0.064210,0.126602
1,m130,20000,20826,0.000000,0.000000,0.000000,-0.468909,0.531091,-0.140662,0.140379,-0.070352,0.096141
1,m131,20000,21000,0.000000,0.000000,0.000000,-0.476104,0.523896,-0.155097,0.158121,-0.063406,0.113597
1,m132,20000,21512,0.000000,0.000000,0.000000,-0.482859,0.517141,-0.146670,0.145841,-0.086337,0.103770
1,m133,20002,21911,0.000000,0.000000,0.000000,-0.489991,0.510009,-0.162484,0.163639,-0.095372,0.103934
1,m134,20001,21571,0.000000,0.000000,0.000000,-0.393287,0.606713,-0.107147,0.116613,-0.099136,0.071429
1,m135,20001,20415,0.000000,0.000000,0.000000,-0.464345,0.535655,-0.143784,0.141046,-0.069342,0.179676
1,m136,20002,20394,0.000000,0.000000,0.000000,-0.487131,0.512869,-0.139816,0.139309,-0.070313,0.107160
1,m137,20002,21620,0.000000,0.000000,0.000000,-0.473036,0.526964,-0.202397,0.203152,-0.122377,0.096017
1,m138,20001,27035,0.000000,0.000000,0.000000,-0.460217,0.539783,-0.180185,0.196369,-0.084664,0.140258
1,m139,20001,32021,0.000000,0.000000,0.000000,-0.434418,0.565582,-0.257757,0.267742,-0.106186,0.127799
1,m140,20002,28968,0.000000,0.000000,0.000000,-0.455002,0.544998,-0.193482,0.198697,-0.092655,0.096234
1,m141,20000,21000,0.000000,0.000000,0.000000,-0.477954,0.522046,-0.156621,0.149193,-0.105677,0.183127
1,m142,20000,25298,0.000000,0.000000,0.000000,-0.422914,0.577086,-0.281870,0.286747,-0.087380,0.097072
1,m143,20002,25172,0.000000,0.000000,0.000000,-0.442705,0.557295,-0.197088,0.207142,-0.084173,0.097092
1,m144,20002,20616,0.000000,0.000000,0.000000,-0.467731,0.532269,-0.161524,0.161871,-0.078937,0.109747
1,m145,20000,32746,0.000000,0.000000,0.000000,-0.474394,0.525606,-0.321130,0.298189,-0.079610,0.101281
1,m146,20001,21217,0.000000,0.000000,0.000000,-0.490873,0.509127,-0.193383,0.190897,-0.121192,0.204702
1,m147,20001,23709,0.000000,0.000000,0.000000,-0.459632,0.540369,-0.169172,0.178579,-0.081757,0.134964
1,m148,20002,23645,0.000000,0.000000,0.000000,-0.510037,0.489963,-0.271823,0.271843,-0.083688,0.127509
1,m149,20000,37324,0.000000,0.000000,0.000000,-0.436145,0.563855,-0.154321,0.154287,-0.080301,0.101968
1,m150,20001,21012,0.000000,0.000000,0.000000,-0.461625,0.538375,-0.186934,0.190276,-0.088635,0.128283
1,m151,20000,22954,0.000000,0.000000,0.000000,-0.450033,0.549967,-0.143190,0.143644,-0.114334,0.108744
1,m152,20000,29669,0.000000,0.000000,0.000000,-0.391607,0.608393,-0.183371,0.184387,-0.113311,0.106248
1,m153,20002,28437,0.000000,0.000000,0.000000,-0.362727,0.637273,-0.157349,0.158940,-0.107719,0.119160
1,m154,20002,20277,0.000000,0.000000,0.000000,-0.477159,0.522841,-0.151333,0.154890,-0.080305,0.115604
1,m155,20001,21287,0.000000,0.000000,0.000000,-0.519603,0.480396,-0.252518,0.256891,-0.087694,0.104792
1,m156,20001,36549,0.000000,0.000000,0.000000,-0.453871,0.546130,-0.191892,0.213420,-0.093337,0.086920
1,m157,20001,20684,0.000000,0.000000,0.000000,-0.497534,0.502466,-0.181132,0.215248,-0.102586,0.159353
1,m158,20000,20414,0.000000,0.000000,0.000000,-0.427246,0.572754,-0.180331,0.181197,-0.104564,0.115843
1,m159,20000,20465,0.000000,0.000000,0.000000,-0.491539,0.508461,-0.153128,0.153768,-0.080500,0.091840
1,m160,20001,20734,0.000000,0.000000,0.000000,-0.447818,0.552182,-0.178103,0.203501,-0.105613,0.263982
1,m161,20001,20334,0.000000,0.000000,0.000000,-0.513404,0.486596,-0.169607,0.173067,-0.076855,0.090257
1,m162,20000,23407,0.000000,0.000000,0.000000,-0.511095,0.488905,-0.174095,0.174719,-0.140972,0.099619
1,m163,20001,20089,0.000000,0.000000,0.000000,-0.504833,0.495167,-0.139367,0.147428,-0.068155,0.103134
1,m164,20000,20668,0.000000,0.000000,0.000000,-0.501810,0.498190,-0.159043,0.157747,-0.074910,0.119939
1,m165,20000,20343,0.000000,0.000000,0.000000,-0.478313,0.521687,-0.159799,0.167574,-0.074396,0.102218
1,m166,20000,20359,0.000000,0.000000,0.000000,-0.478044,0.521956,-0.146010,0.175509,-0.117505,0.119264
1,m167,20001,20418,0.000000,0.000000,0.000000,-0.507810,0.492190,-0.248010,0.260434,-0.154366,0.224914
1,m168,20001,22637,0.000000,0.000000,0.000000,-0.516677,0.483323,-0.189888,0.205852,-0.074331,0.097044
1,m169,20001,20943,0.000000,0.000000,0.000000,-0.475718,0.524282,-0.152721,0.154737,-0.098727,0.078306
1,m170,20000,35989,0.000000,0.000000,0.000000,-0.519280,0.480720,-0.171064,0.171306,-0.066571,0.068180
1,m171,20000,20412,0.000000,0.000000,0.000000,-0.425895,0.574105,-0.238182,0.249059,-0.086457,0.092726
1,m172,20002,20670,0.000000,0.000000,0.000000,-0.469799,0.530201,-0.151697,0.154488,-0.056102,0.072650
1,m173,20002,20701,0.000000,0.000000,0.000000,-0.479655,0.520345,-0.137129,0.138453,-0.064059,0.093487
1,m174,20000,21112,0.000000,0.000000,0.000000,-0.437953,0.562047,-0.198433,0.201770,-0.077137,0.135291
1,m175,20001,20411,0.000000,0.000000,0.000000,-0.525614,0.474386,-0.164116,0.145641,-0.182971,0.133234
1,m176,20001,20415,0.000000,0.000000,0.000000,-0.468811,0.531189,-0.214781,0.213834,-0.083327,0.095641
1,m177,20000,20069,0.000000,0.000000,0.000000,-0.540005,0.459995,-0.184720,0.187474,-0.105108,0.138161
1,m178,20000,34599,0.000000,0.000000,0.000000,-0.597908,0.402092,-0.166563,0.167409,-0.104548,0.084375
1,m179,20002,30673,0.000000,0.000000,0.000000,-0.467508,0.532492,-0.192374,0.192776,-0.081887,0.083245
1,m180,20002,34434,0.000000,0.000000,0.000000,-0.477371,0.522629,-0.143589,0.143584,-0.064604,0.090204
1,m181,20001,28210,0.000000,0.000000,0.000000,-0.405404,0.594595,-0.211879,0.227300,-0.098681,0.129447
1,m182,20000,31002,0.000000,0.000000,0.000000,-0.432662,0.567338,-0.193861,0.193854,-0.076414,0.069820
1,m183,20001,23507,0.000000,0.000000,0.000000,-0.510194,0.489806,-0.454874,0.456733,-0.171927,0.184297
1,m184,20001,20374,0.000000,0.000000,0.000000,-0.470939,0.529061,-0.134397,0.135592,-0.065010,0.091436
1,m185,20002,20405,0.000000,0.000000,0.000000,-0.470856,0.529144,-0.138520,0.147262,-0.138463,0.147414
1,m186,20001,20180,0.000000,0.000000,0.000000,-0.488716,0.511284,-0.156858,0.156226,-0.076889,0.101290
1,m187,20002,21512,0.000000,0.000000,0.000000,-0.497473,0.502527,-0.271619,0.307511,-0.227870,0.247014
1,m188,20001,21498,0.000000,0.000000,0.000000,-0.396239,0.603761,-0.150151,0.148805,-0.075673,0.109796
1,m189,20001,20186,0.000000,0.000000,0.000000,-0.478903,0.521098,-0.137583,0.138471,-0.056814,0.081288
1,m190,20000,20729,0.000000,0.000000,0.000000,-0.462795,0.537205,-0.248318,0.250863,-0.166473,0.184637
1,m191,20002,20082,0.000000,0.000000,0.000000,-0.416677,0.583323,-0.259106,0.260446,-0.098067,0.111332
1,m192,20001,20376,0.000000,0.000000,0.000000,-0.466068,0.533932,-0.134592,0.134085,-0.076960,0.144222
1,m193,20001,27833,0.000000,0.000000,0.000000,-0.512783,0.487217,-0.208262,0.341195,-0.186455,0.156038
1,m194,20001,21217,0.000000,0.000000,0.000000,-0.489977,0.510023,-0.193905,0.196522,-0.079248,0.131035
1,m195,20000,39164,0.000000,0.000000,0.000000,-0.413594,0.586406,-0.218390,0.272500,-0.080195,0.135131
1,m196,20000,23470,0.000000,0.000000,0.000000,-0.454100,0.545900,-0.218481,0.218659,-0.079918,0.082268
1,m197,20001,21003,0.000000,0.000000,0.000000,-0.480737,0.519263,-0.142766,0.143136,-0.057932,0.107856
1,m198,20002,23498,0.000000,0.000000,0.000000,-0.430381,0.569619,-0.201202,0.198630,-0.131248,0.182306
1,m199,20001,26397,0.000000,0.000000,0.000000,-0.473054,0.526946,-0.184865,0.185169,-0.081115,0.126575
10,m1000,20002,26929,0.000000,0.000000,0.000000,-0.456016,0.464923,-0.359502,0.640498,-0.337957,0.393422
10,m1001,20002,25155,0.000000,0.000000,0.000000,-0.482145,0.517855,-0.329069,0.407598,-0.300874,0.315466
10,m1002,20002,21926,0.000000,0.000000,0.000000,-0.501104,0.498896,-0.326136,0.445383,-0.505978,0.491063
10,m1003,20000,22091,0.000000,0.000000,0.000000,-0.422645,0.500803,-0.473471,0.526529,-0.458628,0.487176
10,m1004,20001,23824,0.000000,0.000000,0.000000,-0.329778,0.450715,-0.488333,0.511667,-0.482251,0.454796
10,m1005,20000,21776,0.000000,0.000000,0.000000,-0.438436,0.561564,-0.245253,0.245155,-0.241496,0.243986
10,m1006,20002,29429,0.000000,0.000000,0.000000,-0.386023,0.483917,-0.511744,0.488256,-0.416491,0.468674
10,m1007,20002,20936,0.000000,0.000000,0.000000,-0.421308,0.578693,-0.386169,0.356249,-0.345936,0.395589
10,m1008,20002,22571,0.000000,0.000000,0.000000,-0.387277,0.492062,-0.479452,0.520548,-0.433074,0.535809
10,m1009,20000,21403,0.000000,0.000000,0.000000,-0.364780,0.635220,-0.324020,0.300954,-0.337399,0.307484
10,m1010,20000,20939,0.000000,0.000000,0.000000,-0.328149,0.385543,-0.497556,0.502444,-0.381034,0.382941
10,m1011,20000,23151,0.000000,0.000000,0.000000,-0.428153,0.571847,-0.442629,0.430191,-0.443079,0.456367
10,m1012,20002,21344,0.000000,0.000000,0.000000,-0.499214,0.500786,-0.450555,0.495423,-0.282871,0.341302
10,m1013,20000,21059,0.000000,0.000000,0.000000,-0.456165,0.506143,-0.483778,0.516222,-0.433329,0.427211
10,m1014,20001,23739,0.000000,0.000000,0.000000,-0.356790,0.643210,-0.365066,0.446212,-0.384007,0.347832
10,m1015,20000,20786,0.000000,0.000000,0.000000,-0.347681,0.652319,-0.253111,0.287631,-0.245956,0.252539
10,m1016,20001,22530,0.000000,0.000000,0.000000,-0.441178,0.558822,-0.245260,0.455658,-0.320976,0.398691
10,m1017,20002,26445,0.000000,0.000000,0.000000,-0.299615,0.700385,-0.328040,0.363742,-0.268309,0.287638
10,m1018,20000,22382,0.000000,0.000000,0.000000,-0.399321,0.454541,-0.517725,0.482275,-0.493132,0.490987
10,m1019,20001,24702,0.000000,0.000000,0.000000,-0.455269,0.544731,-0.424214,0.517398,-0.402417,0.367243
10,m1020,20001,31667,0.000000,0.000000,0.000000,-0.500209,0.499791,-0.372866,0.454404,-0.480253,0.422276
10,m1021,20001,23900,0.000000,0.000000,0.000000,-0.442155,0.557845,-0.457468,0.456675,-0.487619,0.440961
10,m1022,20002,22958,0.000000,0.000000,0.000000,-0.342677,0.657323,-0.490365,0.482900,-0.441625,0.425005
10,m1023,20002,20579,0.000000,0.000000,0.000000,-0.496292,0.503708,-0.363165,0.473853,-0.364923,0.397049
10,m1024,22423,32733,0.000000,0.000000,0.000000,-0.476222,0.523778,-0.438225,0.451655,-0.465632,0.393432
10,m1025,20001,24099,0.000000,0.000000,0.000000,-0.457200,0.480598,-0.525463,0.474537,-0.404780,0.456308
10,m1026,20002,20544,0.000000,0.000000,0.000000,-0.430663,0.569337,-0.469140,0.503672,-0.466059,0.497191
10,m1027,20001,21200,0.000000,0.000000,0.000000,-0.475063,0.524937,-0.471398,0.495841,-0.421180,0.461934
10,m1028,20002,21600,0.000000,0.000000,0.000000,-0.392707,0.607293,-0.453979,0.451392,-0.423255,0.422427
10,m1029,20002,20222,0.000000,0.000000,0.000000,-0.328375,0.671625,-0.369418,0.318974,-0.184030,0.224436
10,m1030,20000,20059,0.000000,0.000000,0.000000,-0.304210,0.381710,-0.515969,0.484031,-0.468371,0.442998
10,m1031,20001,20425,0.000000,0.000000,0.000000,-0.261113,0.674306,-0.430137,0.569863,-0.333309,0.325093
10,m1032,20001,20061,0.000000,0.000000,0.000000,-0.513157,0.486843,-0.334165,0.529438,-0.273480,0.370258
10,m1033,20000,19930,0.000000,0.000000,0.000000,-0.310916,0.689084,-0.288130,0.286519,-0.210694,0.228499
